## SL2 field_label weight(automorphic) level(HNF) cusp-dim new-cusp-dim
2.0.19.1 3 [245,229,1] 12 0
2.0.19.1 2 [245,28,7] 13 3
2.0.19.1 3 [245,28,7] 28 0
2.0.19.1 2 [245,64,1] 6 6
2.0.19.1 3 [245,64,1] 12 0
2.0.19.1 2 [25,0,5] 3 3
2.0.19.1 3 [25,0,5] 10 6
2.0.19.1 4 [25,0,5] 18 10
2.0.19.1 5 [25,0,5] 22 14
2.0.19.1 6 [25,0,5] 28 16
2.0.19.1 2 [251,198,1] 0 0
2.0.19.1 3 [251,198,1] 2 0
2.0.19.1 2 [251,52,1] 0 0
2.0.19.1 3 [251,52,1] 2 0
2.0.19.1 2 [25,20,1] 0 0
2.0.19.1 3 [25,20,1] 4 1
2.0.19.1 4 [25,20,1] 8 2
2.0.19.1 5 [25,20,1] 8 2
2.0.19.1 6 [25,20,1] 12 3
2.0.19.1 2 [252,30,6] 14 0
2.0.19.1 3 [252,30,6] 36 0
2.0.19.1 2 [252,6,6] 14 0
2.0.19.1 3 [252,6,6] 36 0
2.0.19.1 2 [253,173,1] 0 0
2.0.19.1 3 [253,173,1] 4 0
2.0.19.1 2 [253,217,1] 0 0
2.0.19.1 3 [253,217,1] 4 0
2.0.19.1 2 [253,35,1] 0 0
2.0.19.1 3 [253,35,1] 4 0
2.0.19.1 2 [253,79,1] 0 0
2.0.19.1 3 [253,79,1] 4 0
2.0.19.1 2 [25,4,1] 0 0
2.0.19.1 3 [25,4,1] 4 1
2.0.19.1 4 [25,4,1] 8 2
2.0.19.1 5 [25,4,1] 8 2
2.0.19.1 6 [25,4,1] 12 3
2.0.19.1 2 [256,0,16] 17 9
2.0.19.1 3 [256,0,16] 46 24
2.0.19.1 2 [263,113,1] 0 0
2.0.19.1 3 [263,113,1] 2 0
2.0.19.1 2 [263,149,1] 0 0
2.0.19.1 3 [263,149,1] 2 0
2.0.19.1 2 [271,227,1] 0 0
2.0.19.1 3 [271,227,1] 2 0
2.0.19.1 2 [271,43,1] 0 0
2.0.19.1 3 [271,43,1] 2 0
2.0.19.1 2 [272,12,4] 4 0
2.0.19.1 3 [272,12,4] 12 0
2.0.19.1 2 [272,52,4] 4 0
2.0.19.1 3 [272,52,4] 12 0
2.0.19.1 2 [275,10,5] 10 4
2.0.19.1 3 [275,10,5] 20 0
2.0.19.1 2 [275,129,1] 0 0
2.0.19.1 3 [275,129,1] 8 0
2.0.19.1 2 [275,145,1] 0 0
2.0.19.1 3 [275,145,1] 8 0
2.0.19.1 2 [275,195,1] 2 2
2.0.19.1 3 [275,195,1] 8 0
2.0.19.1 2 [275,40,5] 10 4
2.0.19.1 3 [275,40,5] 20 0
2.0.19.1 2 [275,79,1] 2 2
2.0.19.1 3 [275,79,1] 8 0
2.0.19.1 2 [277,16,1] 0 0
2.0.19.1 3 [277,16,1] 2 0
2.0.19.1 2 [277,260,1] 0 0
2.0.19.1 3 [277,260,1] 2 0
2.0.19.1 2 [28,10,2] 2 0
2.0.19.1 3 [28,10,2] 6 0
2.0.19.1 4 [28,10,2] 12 0
2.0.19.1 5 [28,10,2] 16 0
2.0.19.1 6 [28,10,2] 20 0
2.0.19.1 2 [283,183,1] 0 0
2.0.19.1 3 [283,183,1] 2 0
2.0.19.1 2 [283,99,1] 0 0
2.0.19.1 3 [283,99,1] 2 0
2.0.19.1 2 [289,0,17] 15 15
2.0.19.1 3 [289,0,17] 30 26
2.0.19.1 2 [289,207,1] 4 4
2.0.19.1 3 [289,207,1] 6 3
2.0.19.1 2 [289,81,1] 4 4
2.0.19.1 3 [289,81,1] 6 3
2.0.19.1 2 [292,100,2] 3 1
2.0.19.1 3 [292,100,2] 6 0
2.0.19.1 2 [292,44,2] 3 1
2.0.19.1 3 [292,44,2] 6 0
2.0.19.1 2 [301,229,1] 0 0
2.0.19.1 3 [301,229,1] 4 0
2.0.19.1 2 [301,243,1] 0 0
2.0.19.1 3 [301,243,1] 4 0
2.0.19.1 2 [301,57,1] 0 0
2.0.19.1 3 [301,57,1] 4 0
2.0.19.1 2 [301,71,1] 0 0
2.0.19.1 3 [301,71,1] 4 0
2.0.19.1 2 [304,36,4] 20 9
2.0.19.1 3 [304,36,4] 12 0
2.0.19.1 2 [305,114,1] 0 0
2.0.19.1 3 [305,114,1] 4 0
2.0.19.1 2 [305,129,1] 0 0
2.0.19.1 3 [305,129,1] 4 0
2.0.19.1 2 [305,175,1] 0 0
2.0.19.1 2 [305,190,1] 0 0
2.0.19.1 2 [308,114,2] 12 2
2.0.19.1 2 [308,136,2] 8 2
2.0.19.1 2 [308,16,2] 8 2
2.0.19.1 2 [308,38,2] 12 2
2.0.19.1 2 [311,17,1] 0 0
2.0.19.1 3 [311,17,1] 2 0
2.0.19.1 2 [311,293,1] 0 0
2.0.19.1 3 [311,293,1] 2 0
2.0.19.1 2 [313,273,1] 0 0
2.0.19.1 3 [313,273,1] 2 0
2.0.19.1 2 [313,39,1] 0 0
2.0.19.1 3 [313,39,1] 2 0
2.0.19.1 2 [315,15,3] 11 3
2.0.19.1 2 [315,45,3] 8 0
2.0.19.1 2 [315,57,3] 8 0
2.0.19.1 2 [315,87,3] 11 3
2.0.19.1 2 [320,0,8] 17 4
2.0.19.1 2 [320,32,8] 17 4
2.0.19.1 2 [323,275,1] 3 1
2.0.19.1 3 [323,275,1] 4 0
