[344,282,1]   3  7 
[344,325,1]   3  7 
[347,74,1]   0  1 
[347,272,1]   0  1 
[350,15,5]   7  7 
[350,50,5]   7  7 
[352,16,4]  12 23 
[352,24,4]  13 23 
[352,60,4]  13 23 
[352,68,4]  12 23 
[352,52,2]   8 19 
[352,74,2]  12 19 
[352,100,2]  12 19 
[352,122,2]   8 19 
[352,26,1]   3 11 
[352,37,1]   3 11 
[352,314,1]   3 11 
[352,325,1]   3 11 
[358,53,1]   0  3 
[358,125,1]   0  3 
[358,232,1]   0  3 
[358,304,1]   0  3 
[359,128,1]   0  1 
[359,230,1]   0  1 
[361,0,19]   1  1 
[368,36,4]   8 17 
[368,52,4]   8 17 
[368,18,2]   9 15 
[368,26,2]   4 15 
[368,156,2]   4 15 
[368,164,2]   9 15 
[368,101,1]   4  9 
[368,170,1]   0  9 
[368,197,1]   0  9 
[368,266,1]   4  9 
[371,38,1]   0  3 
[371,332,1]   0  3 
[373,154,1]   0  1 
[373,218,1]   0  1 
[379,27,1]   0  1 
[379,351,1]   0  1 
[382,19,1]   0  3 
[382,171,1]   0  3 
[382,210,1]   0  3 
[382,362,1]   0  3 
[386,73,1]   0  3 
[386,119,1]   0  3 
[386,266,1]   0  3 
[386,312,1]   0  3 
[387,54,3]   0  3 
[387,72,3]   0  3 
[389,92,1]   0  1 
[389,296,1]   0  1 
[392,0,14]   6 29 
[392,14,14]   6 29 
[392,14,7]   0 19 
[392,35,7]   0 19 
[394,52,1]   0  3 
[394,144,1]   0  3 
[394,249,1]   0  3 
[394,341,1]   0  3 
[396,24,6]   4 15 
[396,36,6]   4 15 
[396,18,3]   0 11 
[396,51,3]   0 11 
[396,78,3]   0 11 
[396,111,3]   0 11 
[400,0,20]   1 17 
[400,10,10]   2 15 
[400,20,10]   2 15 
[400,25,5]   3  9 
[400,50,5]   3  9 
[401,152,1]   0  1 
[401,248,1]   0  1 
[406,94,1]   0  7 
